"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage"
"51191","1","102","72","0","2013","3","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,116,118,117,1885452,0,0,1240,"",1.53,0.28,0.28,0.28,0.33,0.00,0.00,1.16
"51191","1","102","72","0","2013","4","","Washington County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,114,119,119,1597373,0,0,1047,"",1.56,0.28,0.29,0.29,0.32,0.00,0.00,1.11
"51191","1","1021","73","0","2013","1","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.16,0.57,0.57,0.57,0.60,0.00,0.00,1.05
"51191","1","1021","73","0","2013","2","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.17,0.55,0.56,0.60,0.60,0.00,0.00,1.05
"51191","1","1021","73","0","2013","3","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.17,0.59,0.62,0.62,0.63,0.00,0.00,1.04
"51191","1","1021","73","0","2013","4","","Washington County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.19,0.61,0.64,0.64,0.66,0.00,0.00,1.05
"51191","1","1024","73","0","2013","1","","Washington County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",3.79,0.09,0.09,0.09,0.13,0.00,0.00,1.42
"51191","1","1024","73","0","2013","2","","Washington County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",3.82,0.09,0.09,0.09,0.14,0.00,0.00,1.45
"51191","1","1024","73","0","2013","3","","Washington County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",3.80,0.09,0.09,0.10,0.13,0.00,0.00,1.35
"51191","1","1024","73","0","2013","4","","Washington County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",4.02,0.10,0.10,0.10,0.16,0.00,0.00,1.58
"51191","1","1028","73","0","2013","1","","Washington County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,54,53,58,1058560,0,0,1481,"",2.03,0.23,0.22,0.24,0.31,0.00,0.00,1.34
"51191","1","1028","73","0","2013","2","","Washington County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,58,53,56,1043880,0,0,1442,"",2.05,0.24,0.22,0.23,0.28,0.00,0.00,1.21
"51191","1","1028","73","0","2013","3","","Washington County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,54,54,53,1138710,0,0,1632,"",2.05,0.23,0.23,0.23,0.32,0.00,0.00,1.38
"51191","1","1028","73","0","2013","4","","Washington County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,52,54,53,945770,0,0,1373,"",2.10,0.23,0.24,0.23,0.31,0.00,0.00,1.31
"51191","1","48-49","74","0","2013","1","","Washington County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.19,0.63,0.63,0.63,0.64,0.00,0.00,1.01
"51191","1","48-49","74","0","2013","2","","Washington County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.20,0.61,0.62,0.66,0.65,0.00,0.00,1.04
"51191","1","48-49","74","0","2013","3","","Washington County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.20,0.65,0.68,0.69,0.68,0.00,0.00,1.01
"51191","1","48-49","74","0","2013","4","","Washington County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.22,0.67,0.70,0.70,0.71,0.00,0.00,1.03
"51191","1","491","75","0","2013","1","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.20,0.65,0.64,0.64,0.66,0.00,0.00,1.03
"51191","1","491","75","0","2013","2","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.21,0.62,0.64,0.68,0.69,0.00,0.00,1.06
"51191","1","491","75","0","2013","3","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.21,0.67,0.69,0.70,0.70,0.00,0.00,1.02
"51191","1","491","75","0","2013","4","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.23,0.68,0.72,0.72,0.74,0.00,0.00,1.05
"51191","1","4911","76","0","2013","1","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.20,0.65,0.64,0.64,0.66,0.00,0.00,1.03
"51191","1","4911","76","0","2013","2","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.21,0.62,0.64,0.68,0.69,0.00,0.00,1.06
"51191","1","4911","76","0","2013","3","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.21,0.67,0.69,0.70,0.70,0.00,0.00,1.02
"51191","1","4911","76","0","2013","4","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.23,0.68,0.72,0.72,0.74,0.00,0.00,1.05
"51191","1","49111","77","0","2013","1","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.20,0.65,0.64,0.64,0.66,0.00,0.00,1.03
"51191","1","49111","77","0","2013","2","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.21,0.62,0.64,0.68,0.69,0.00,0.00,1.06
"51191","1","49111","77","0","2013","3","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.21,0.67,0.69,0.70,0.70,0.00,0.00,1.02
"51191","1","49111","77","0","2013","4","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.23,0.68,0.72,0.72,0.74,0.00,0.00,1.05
"51191","1","491110","78","0","2013","1","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,60,60,59,707427,0,0,912,"",1.20,0.65,0.64,0.64,0.66,0.00,0.00,1.03
"51191","1","491110","78","0","2013","2","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,59,58,62,621463,0,0,801,"",1.21,0.62,0.64,0.68,0.69,0.00,0.00,1.06
"51191","1","491110","78","0","2013","3","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,61,63,63,727225,0,0,897,"",1.21,0.67,0.69,0.70,0.70,0.00,0.00,1.02
"51191","1","491110","78","0","2013","4","","Washington County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,61,64,65,628833,0,0,764,"",1.23,0.68,0.72,0.72,0.74,0.00,0.00,1.05
"51191","1","54","74","0","2013","1","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",4.18,0.10,0.10,0.10,0.13,0.00,0.00,1.39
"51191","1","54","74","0","2013","2","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",4.20,0.10,0.10,0.10,0.14,0.00,0.00,1.42
"51191","1","54","74","0","2013","3","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",4.18,0.10,0.10,0.10,0.13,0.00,0.00,1.33
"51191","1","54","74","0","2013","4","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",4.44,0.10,0.10,0.10,0.16,0.00,0.00,1.55
"51191","1","541","75","0","2013","1","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",4.18,0.10,0.10,0.10,0.13,0.00,0.00,1.39
"51191","1","541","75","0","2013","2","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",4.20,0.10,0.10,0.10,0.14,0.00,0.00,1.42
"51191","1","541","75","0","2013","3","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",4.18,0.10,0.10,0.10,0.13,0.00,0.00,1.33
"51191","1","541","75","0","2013","4","","Washington County, Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",4.44,0.10,0.10,0.10,0.16,0.00,0.00,1.55
"51191","1","5413","76","0","2013","1","","Washington County, Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",7.23,0.13,0.13,0.13,0.18,0.00,0.00,1.42
"51191","1","5413","76","0","2013","2","","Washington County, Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.27,0.13,0.13,0.13,0.19,0.00,0.00,1.47
"51191","1","5413","76","0","2013","3","","Washington County, Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",7.22,0.13,0.13,0.13,0.19,0.00,0.00,1.41
"51191","1","5413","76","0","2013","4","","Washington County, Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.48,0.14,0.14,0.14,0.22,0.00,0.00,1.58
"51191","1","54133","77","0","2013","1","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",7.24,0.13,0.14,0.14,0.19,0.00,0.00,1.40
"51191","1","54133","77","0","2013","2","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.29,0.14,0.14,0.14,0.20,0.00,0.00,1.46
"51191","1","54133","77","0","2013","3","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",7.24,0.14,0.14,0.14,0.20,0.00,0.00,1.41
"51191","1","54133","77","0","2013","4","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.50,0.14,0.14,0.15,0.23,0.00,0.00,1.56
"51191","1","541330","78","0","2013","1","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,20366,0,0,1567,"",7.24,0.13,0.14,0.14,0.19,0.00,0.00,1.40
"51191","1","541330","78","0","2013","2","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.29,0.14,0.14,0.14,0.20,0.00,0.00,1.46
"51191","1","541330","78","0","2013","3","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,19517,0,0,1501,"",7.24,0.14,0.14,0.14,0.20,0.00,0.00,1.41
"51191","1","541330","78","0","2013","4","","Washington County, Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,1,1,22770,0,0,1752,"",7.50,0.14,0.14,0.15,0.23,0.00,0.00,1.56
"51191","1","92","74","0","2013","1","","Washington County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,54,53,58,1058560,0,0,1481,"",2.03,0.23,0.22,0.24,0.31,0.00,0.00,1.34
"51191","1","92","74","0","2013","2","","Washington County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,58,53,56,1043880,0,0,1442,"",2.05,0.24,0.22,0.23,0.28,0.00,0.00,1.21
"51191","1","92","74","0","2013","3","","Washington County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,54,54,53,1138710,0,0,1632,"",2.05,0.23,0.23,0.23,0.32,0.00,0.00,1.38
"51191","1","92","74","0","2013","4","","Washington County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,52,54,53,945770,0,0,1373,"",2.10,0.23,0.24,0.23,0.31,0.00,0.00,1.31
"51191","1","922","75","0","2013","1","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,36,35,40,782394,0,0,1627,"",4.75,0.89,0.87,0.99,1.22,0.00,0.00,1.33
"51191","1","922","75","0","2013","2","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,35,36,39,747092,0,0,1567,"",4.78,0.87,0.90,0.99,1.03,0.00,0.00,1.12
"51191","1","922","75","0","2013","3","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,36,35,34,818171,0,0,1798,"",4.75,0.91,0.89,0.88,1.12,0.00,0.00,1.25
"51191","1","922","75","0","2013","4","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,34,36,34,697292,0,0,1547,"",4.83,0.89,0.94,0.90,1.19,0.00,0.00,1.31
"51191","1","9221","76","0","2013","1","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,36,35,40,782394,0,0,1627,"",4.75,0.89,0.87,0.99,1.22,0.00,0.00,1.33
"51191","1","9221","76","0","2013","2","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,35,36,39,747092,0,0,1567,"",4.78,0.87,0.90,0.99,1.03,0.00,0.00,1.12
"51191","1","9221","76","0","2013","3","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,36,35,34,818171,0,0,1798,"",4.75,0.91,0.89,0.88,1.12,0.00,0.00,1.25
"51191","1","9221","76","0","2013","4","","Washington County, Virginia","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,34,36,34,697292,0,0,1547,"",4.83,0.89,0.94,0.90,1.19,0.00,0.00,1.31
"51191","1","92211","77","0","2013","1","","Washington County, Virginia","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,25,25,548822,0,0,1735,"",10.74,4.28,4.64,4.63,6.16,0.00,0.00,1.37
"51191","1","92211","77","0","2013","2","","Washington County, Virginia","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,25,25,475106,0,0,1462,"",10.85,4.66,4.70,4.70,6.04,0.00,0.00,1.29
"51191","1","92211","77","0","2013","3","","Washington County, Virginia","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,25,24,24,544379,0,0,1721,"",10.60,4.73,4.60,4.65,6.14,0.00,0.00,1.32
"51191","1","92211","77","0","2013","4","","Washington County, Virginia","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,24,24,463293,0,0,1485,"",10.71,4.75,4.80,4.84,6.50,0.00,0.00,1.35
"51191","1","922110","78","0","2013","1","","Washington County, Virginia","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,25,25,548822,0,0,1735,"",10.74,4.28,4.64,4.63,6.16,0.00,0.00,1.37
"51191","1","922110","78","0","2013","2","","Washington County, Virginia","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,25,25,475106,0,0,1462,"",10.85,4.66,4.70,4.70,6.04,0.00,0.00,1.29
"51191","1","922110","78","0","2013","3","","Washington County, Virginia","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,25,24,24,544379,0,0,1721,"",10.60,4.73,4.60,4.65,6.14,0.00,0.00,1.32
"51191","1","922110","78","0","2013","4","","Washington County, Virginia","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,24,24,463293,0,0,1485,"",10.71,4.75,4.80,4.84,6.50,0.00,0.00,1.35
"51191","1","92212","77","0","2013","1","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,5,9,121137,0,0,1331,"",3.07,0.32,0.23,0.40,0.33,0.00,0.00,1.04
"51191","1","92212","77","0","2013","2","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,8,140498,0,0,1801,"",3.09,0.23,0.23,0.37,0.32,0.00,0.00,1.18
"51191","1","92212","77","0","2013","3","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,141304,0,0,2174,"",3.08,0.23,0.23,0.24,0.33,0.00,0.00,1.41
"51191","1","92212","77","0","2013","4","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,7,5,121023,0,0,1643,"",3.14,0.24,0.33,0.24,0.35,0.00,0.00,1.30
"51191","1","922120","78","0","2013","1","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,5,9,121137,0,0,1331,"",3.07,0.32,0.23,0.40,0.33,0.00,0.00,1.04
"51191","1","922120","78","0","2013","2","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,8,140498,0,0,1801,"",3.09,0.23,0.23,0.37,0.32,0.00,0.00,1.18
"51191","1","922120","78","0","2013","3","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,141304,0,0,2174,"",3.08,0.23,0.23,0.24,0.33,0.00,0.00,1.41
"51191","1","922120","78","0","2013","4","","Washington County, Virginia","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,7,5,121023,0,0,1643,"",3.14,0.24,0.33,0.24,0.35,0.00,0.00,1.30
"51191","1","92213","77","0","2013","1","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,5,6,112435,0,0,1526,"",19.79,1.81,1.51,1.81,1.93,0.00,0.00,1.13
"51191","1","92213","77","0","2013","2","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,6,6,131488,0,0,1785,"",19.92,1.52,1.82,1.84,1.89,0.00,0.00,1.10
"51191","1","92213","77","0","2013","3","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,6,5,132488,0,0,1798,"",19.85,1.85,1.87,1.58,1.96,0.00,0.00,1.11
"51191","1","92213","77","0","2013","4","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,5,5,112976,0,0,1738,"",20.14,1.60,1.61,1.63,2.08,0.00,0.00,1.29
"51191","1","922130","78","0","2013","1","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,5,6,112435,0,0,1526,"",19.79,1.81,1.51,1.81,1.93,0.00,0.00,1.13
"51191","1","922130","78","0","2013","2","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,6,6,131488,0,0,1785,"",19.92,1.52,1.82,1.84,1.89,0.00,0.00,1.10
"51191","1","922130","78","0","2013","3","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,6,5,132488,0,0,1798,"",19.85,1.85,1.87,1.58,1.96,0.00,0.00,1.11
"51191","1","922130","78","0","2013","4","","Washington County, Virginia","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,5,5,112976,0,0,1738,"",20.14,1.60,1.61,1.63,2.08,0.00,0.00,1.29
"51191","1","924","75","0","2013","1","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,14,14,204876,0,0,1126,"",2.91,0.90,0.92,0.90,1.05,0.00,0.00,1.16
"51191","1","924","75","0","2013","2","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,19,13,13,212436,0,0,1089,"",2.93,1.21,0.80,0.77,0.90,0.00,0.00,0.97
"51191","1","924","75","0","2013","3","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,13,13,224342,0,0,1294,"",2.94,0.82,0.77,0.79,0.95,0.00,0.00,1.19
"51191","1","924","75","0","2013","4","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,13,13,14,156199,0,0,901,"",2.99,0.83,0.88,0.94,0.81,0.00,0.00,0.92
"51191","1","9241","76","0","2013","1","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,14,14,14,204876,0,0,1126,"",2.91,0.90,0.92,0.90,1.05,0.00,0.00,1.16
"51191","1","9241","76","0","2013","2","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,19,13,13,212436,0,0,1089,"",2.93,1.21,0.80,0.77,0.90,0.00,0.00,0.97
"51191","1","9241","76","0","2013","3","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,14,13,13,224342,0,0,1294,"",2.94,0.82,0.77,0.79,0.95,0.00,0.00,1.19
"51191","1","9241","76","0","2013","4","","Washington County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,13,13,14,156199,0,0,901,"",2.99,0.83,0.88,0.94,0.81,0.00,0.00,0.92
"51191","1","92412","77","0","2013","1","","Washington County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,14,14,14,204876,0,0,1126,"",3.03,1.10,1.12,1.09,1.40,0.00,0.00,1.27
"51191","1","92412","77","0","2013","2","","Washington County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,19,13,13,212436,0,0,1089,"",3.05,1.47,0.97,0.91,1.17,0.00,0.00,1.06
"51191","1","92412","77","0","2013","3","","Washington County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,14,13,13,224342,0,0,1294,"",3.06,0.97,0.92,0.94,1.19,0.00,0.00,1.25
