Mall Name,Mall State,Mall Address,Mall Phone,Mall Latitude,Mall Longitude,Mall Number of Stores,Mall Stores List
Centre at Forestville,Maryland,"Petrie Ross Ventures, LLC, 1919 West St., Suite 100, Annapolis, MD 21401",410.573.3800,38.979017,-76.526715,72 stores, 10$ Store |  Accessories Plus |  Applebee's |  Apsara |  Arby's |  Ashley Stewart Woman |  AT&T; |  Bath & Body Works |  Beauty Island |  Cuts Unlimited |  Diamond Jewelers |  Dynamix |  EB Games |  Foot Locker |  Footaction USA |  Fragrance World |  Gallery Africa |  Gift Bazzaar |  GNC |  Gold Plaza Jewelry |  Golden Dream Jewelers |  Golden Jewels |  Guys & Gals |  Head 2 Head |  Heavens Bakery |  His & Hers |  Changes |  JCPenney |  Jerry's Subs & Pizza |  Jewelry Center |  Jewelry Spot |  Jimmy Jazz |  Karibu Books |  Kay Jewelers |  Kings Hot Dogs |  La Fragrance |  Lady Foot Locker |  Lane Bryant |  Last Stop |  Lucaya |  Magic Glamour Photography |  Maryland Seafood/Chicken |  Metropolitan Coffee |  Mo's Accessories |  Mr. Tee's Embroidery |  Nile Framing |  Old Country Buffet |  Only Nails |  P.A. Palace |  Payless ShoeSource |  Personalized Gifts |  Piercing Pagoda |  Plumb Gold |  RadioShack |  Rainbow |  Rainbow Kids |  Regis Salon |  Shadow |  Shoe City |  Smart Attire |  Stride Rite |  Styles |  Target |  The Athlete's Foot |  The Finish Line |  The Shadow |  Ultimate Collection |  VIP Tailors |  Watch Tune-Up |  Wireless Nation |  Zales The Diamond Store
Centre at Glen Burnie,Maryland,"6711 Ritchie Highway, Glen Burnie, Maryland 21061 ",+1 410-766-6529,39.1942971,-76.612771,38 stores, Bonefish Grill |  Cold Stone Creamery |  Dots |  Famous Footwear |  Five Guys Burgers & Fries |  Foot Locker |  Gharonda |  GNC |  Gold Plus |  Great Clips |  H.H. Gregg Appliances |  Hallmark Cards & Gifts |  Chick-fil-A |  Lane Bryant |  Legal Nails |  Liberty Tax Service |  M&T; Bank |  Mattress Warehouse |  Michael's Jewelers |  Office Depot |  Pappas Rest & Sports Bar  |  Payless ShoeSource |  Perfume Place |  Piercing Pagoda |  Power Gamer |  Quiznos |  RadioShack |  Rainbow Apparel |  Sally Beauty Supply |  Salvo Auto Parts |  Silver Place |  Target |  T-Mobile |  Tobacco Etc. |  Toys R Us |  Vacant |  Verizon Wireless
Century III Mall,Pennsylvania,"3075 Clairton Road, West Mifflin, PA",412-653-1220,40.340002,-79.938583,130 stores," 1st and Goal Sports Collectibles |  A&S; Jewelry |  Aeropostale |  Air Too Fly |  American Eagle Outfitters |  Amy's Hallmark |  Arby's |  Armed Forces Recruiting Center |  Army National Guard |  Asian Rice Bowl |  AT&T; |  Auntie Anne's Pretzels |  Bath & Body Works |  Beauty Bar |  Body Central |  Bon Worth |  Boost Mobile |  Bradley's Books |  Break Away & Play |  Cash-In Culture |  Cell Exchange |  Century III Nails |  Century Snacks & Lottery |  Century Travel |  Claire's Boutique |  Cold Cow Ice Cream |  Community Center |  Deb |  Dick's Sporting Goods |  Finish Line |  First & Goal Sports Collectibles |  Foot Locker |  Footaction USA |  Freedom Wireless |  French Fry Factory & Grill |  fye - For Your Entertainment |  Gallery 21 |  GameStop (Level 2) |  Gene & Boots Candies |  General Nutrition Center |  Gloria Jean's Coffees |  Gold & Diamonds |  Gold Rush |  Gordon's Jewelers |  Gymboree |  Hometowne Sports |  Hometowne Sports Outlet |  Hot Topic |  Champs Clearance |  Champs Sports |  Charley's Grilled Subs |  Charlotte Russe |  Children's Place, The |  Chinese Massage |  Italian Village Pizza |  J&S; Glass |  JB Robinson Jewelers |  JCPenney |  JCPenney Portrait Studio |  JCPenney Salon |  Jewelry Planet |  Jewels & More |  Jimmy Jazz |  Journeys |  Journeys Kidz |  JuStringz |  Kay Jewelers |  Kids Foot Locker |  King's Jewelry |  La Hacienda |  Lady Foot Locker |  LensCrafters |  Lids |  Life Span / Goodwill |  Life Uniform |  M&R; Jewelers |  Macy's |  Macy's Salon |  ManAlive |  MasterCuts |  Mir Airs |  Miro Bungy |  Mrs. Fields Cookies |  New Dimension Art and Framing |  New Dimension Comics |  New Era Tattoo |  New York Leather & Fur |  NY & Co. |  Operation Troop Appreciation |  Orange Julius |  PacSun |  Payless Kids |  Payless ShoeSource |  PCX |  Phase 4 Learning Center |  Philip Pelusi Phyto-Life Salons |  Piercing Pagoda |  Posh |  Pro Active |  Project Prom |  Radio Shack |  Rainbow |  Regis Salons |  Remo Men's Wear |  RGM's Nut House |  Sassy's Nail Salon & Spa |  Savarino |  Sears |  Silver & Gold Connection |  Simon Guest Services |  Smoke Wizard |  SolarEx Sunglasses |  Spencer Gifts |  Sprint Nextel |  Steel City Saloon |  Subway |  Sweet Spot Creamery |  The Noerr Programs |  The Noerr Programs - Easter Bunny Photo Experience |  The Shoe Department |  Things Remembered |  T-Mobile |  T-Mobile Corporate store |  Toys R Us Express |  Verizon Wireless |  Victoria's Secret |  Vitamin World |  Wet Seal |  Zales Jewelers"
Cielo Vista,Texas,"8401 Gateway Blvd W, El Paso, TX 79925-5642",(915) 779-7071,31.776365,-106.379239,142 stores," abercrombie |  Abercrombie & Fitch |  Aeropostale |  A'GACI |  Aldo Shoes |  American Eagle Outfitters |  Apple |  AT&T; |  Bakers |  Banana Republic |  Bath & Body Works |  bebe |  Beneash Perfumes |  Brighton Collectibles |  Buckle |  Build-A-Bear Workshop® |  C.D. Clark |  Caché |  Cali Nails I |  Cali Nails II |  Call It Spring |  Cellairis |  Cinemark Movies |  Cinnabon |  Claire's Etc. |  Clarks |  Cleopatra |  Coach |  Cosimo's Pizza |  Crazy 8 |  Cricket |  Diamond Wireless |  Dillard's North |  Dillard's West |  Disney Store, The |  Dr. Summerlin & Dr. Guerra - Lens Crafters |  Express |  Express Men |  Eye Care Plus |  Eyebrow Designer 21 |  Eyemart Express |  Fanzz |  Fiesta Cabana |  Finish Line |  Fletcher's Jewelers |  Follow The Bunny - Easter Photo Experience |  Foot Locker |  Footaction USA |  Forever 21 |  FOSSIL |  Gap |  GNC |  Gordon's Jewelers |  GUESS |  Gymboree |  Hat Zone - Lids |  Helzberg Diamonds |  Hollister Co. |  Hooters |  Hot Dog On A Stick |  Hot Topic |  Champs Sports |  Charming Charlie |  Chick-fil-A |  Chinese Gourmet Express |  Chopsticks |  Icing by Claire's |  Image Shots |  James Avery |  jcpenney |  JCPenney Optical |  JCPenney Portrait Studio |  Journeys |  Journeys Kidz |  Justice |  Kay Jewelers |  Kids Foot Locker |  Kirkland's |  Lady Foot Locker |  LensCrafters |  Luxury Spa & Salon |  Macy*s |  Marble Slab Creamery |  MasterCuts |  McDonald's |  Michael Kors |  Motherhood Maternity® |  Mrs. Fields Cookies |  N3L |  Naturalizer |  New York & Company |  Nine West |  Old Navy |  Olive Garden |  Orange Julius |  p.s. from aeropostale |  PacSun |  Papaya |  Payless ShoeSource |  Perfumania |  Philly Roadhouse |  Physician's Imaging & Vein Care Clinic |  Piercing Pagoda |  Pretzel Time |  Pro Image Sports |  Proactiv |  Radio Shack |  Red Lobster |  Regis Salons |  Ruby Thai Kitchen |  Sears |  Sears Optical |  Sears Portrait Studio |  Sephora |  Shi by Journeys |  Shiekh Shoes |  Simon Guest Services |  Skechers |  Spasso Cafe |  Spencer Gifts |  Sprint |  Starbucks Coffee |  Subway |  Sunglass Designs |  Swarovski Crystal |  TechSmart |  The Children's Place |  The Limited |  Things Remembered |  Tilly's |  Time Square |  T-Mobile |  Torrid |  Vans |  Verizon Wireless |  Victoria's Secret |  Vision Works |  Vitamin World |  Waltz |  Zales Jewelers |  Zumiez"
Circle Centre,Indiana,"49 W Maryland St, Indianapolis, IN 46204-3523",(317) 681-5615,39.766304,-86.159322,95 stores, A & W All American Foods |  Abercrombie & Fitch |  Aeropostale |  Aldo Shoes |  American Eagle Outfitters |  American Greetings |  Andrews Jewelers |  Asian Chao |  AT&T; |  Auntie Anne's Pretzels |  Banana Republic |  Bath & Body Works |  Body Central |  Brookstone |  Cajun & Grill |  California Pizza Kitchen |  Carson Pirie Scott |  Cinnabon |  Claire's Accessories |  Clarks |  Coach |  Collector's Den |  Colts Pro Shop |  Currito: Burritos Without Borders |  Dairy Queen / Orange Julius |  Dakota Watch Company |  dELiAs |  Eddie Bauer |  Einstein Brothers Bagels |  Express |  Eyes by India |  Finish Line |  For Love 21 |  Forever 21 |  Francesca's Collections |  Frullati Cafe |  GameStop |  Gap |  GapKids |  Gillani Perfumes |  Glow Golf |  GNC |  Go Fish Clothing & Jewelery Co. |  Godiva Chocolatier |  Great Steak & Potato Company |  H&M; |  Haagen-Dazs |  Harry & Izzy's |  Hot Topic |  Champps Americana |  Charlotte Russe |  Chick-fil-A |  Johnny Rockets |  Johnston & Murphy |  Journeys |  Kay Jewelers |  Lids |  LOFT |  Lucky Brand |  Luxury Nails |  Maki of Japan |  Nail Spa |  New York & Company |  Nick's Cafe |  Nine West |  Oakley |  P.F. Chang's China Bistro |  Palomino Euro Bistro |  Panera Bread |  Payless ShoeSource |  Ruth's Chris Steak House |  Simon Guest Services |  Solstice Sunglass Boutique |  Subway |  Sunglass Hut |  Swarovski Crystal |  Sweet Factory |  T.J. Maxx |  Taco Bell |  Talbots |  Teavana |  The Children's Place |  The Limited |  The Walking Company |  Things Remembered |  Ticketmaster |  Tilt |  United Artists Theatre |  Victoria's Secret |  Villa Fresh Italian Kitchen |  Weber Grill |  Wet Seal |  Wetzel's Pretzels |  Yankee Candle
Citadel Mall,South Carolina,"2070 Sam Rittenberg Blvd, Charleston, SC",843-766-8321,32.7923814,-80.0307567,100 stores, 911 Driving School |  AB Accessories I & II |  Aéropostale |  All Natural |  American Eagle Outfitters |  Amy's Hallmark |  Authentiks |  Bath & Body Works |  Beauty Line |  Belk |  Best Buy Mobile |  Best Friend of Charleston Railway Museum |  Boobaloo Strollers |  Calendar Club |  Cellaris |  Citadel Express |  Citadel Mall IMAX Stadium 16 |  Claire's |  Corrado's Pizza* |  Dakota Watch Company |  Dick's Sporting Goods |  Dillard's |  Express |  Family Christian Bookstore |  Finish Line |  First Cellular |  Foot Locker |  FootAction |  Fun Wear |  General Nutrition Center |  Gold Buyers America |  Gold Valley |  Great American Cookies* |  Hat Shack |  Champs Sports |  Charleston Area Model Railroad Association |  Charleston Bead Company |  Charleston Police Substation |  Charley's Steakery |  Charlotte Russe |  Chick-fil-A |  China Master |  Chucktown Chicks |  Icing by Claire's |  In Style Suits |  Integrity Wireless | T-Mobile |  JCPenney |  JCPenney Optical |  JCPenney Portrait |  Jewelry Palace |  Jimmy Jazz |  Journeys |  Jump for Joy |  Justice |  Kay Jewelers |  King Street Grille |  Lee Nails |  LensCrafters |  Little Athens Gyros |  Loft |  Lucky Good Hands |  Magic Nails |  Manhattan |  Manhattan II |  Mastercuts |  Men's Wearhouse and Tux |  Motherhood Maternity |  Mystic Fragrances |  New York & Company |  Oxford Perfume & Jewelry |  Palmetto Moon |  Phlayva Cuts |  Piercing Pagoda |  Planet Fitness |  Pretzel Twister |  Princess* |  Proactiv Solution |  RadioShack |  Rainbow |  Red Lobster |  Sarku Japan |  Sears |  Sesame Burgers and Beer |  Shoe Dept. Encore |  Sixteen-Seventy |  Sprint | Mobile Now |  Stride Rite |  Subway |  Target |  The Greek House |  The Children's Place |  The Limited |  Things Remembered |  Uptown |  Victoria's Secret |  Wet Seal |  Wholly Cow Ice Cream & Coffee |  Xclusive Closet |  Zales Jewelers
Citadelle Plaza,Arizona,"Utopia Rd. & 59th Ave.,Glendale, AZ 85308",,48.5955878,-111.1425486,37 stores," Ann Taylor |  Asana Integrated Medical |  Banana Republic Factory |  Blissful Yoga |  Calvin Klein |  Canyon Physical Therapy |  Center for Venous Disease |  Coach Factory |  Dallas Steele, D.D.S. |  Desert Swirl Frzn Yogurt |  Eddie Bauer |  Elements Massage |  Family Eyecare - Glendale |  Foreign Exchange |  Gap Factory Store |  Glendale Insurance |  Guess |  Hardsale Communications |  Haute C Boutique |  Indulge Med Spa |  Indulgence Salon/Boutque |  Next Coffee Company |  Nike Factory Store |  Old Navy |  Ruby's Diner |  State Farm |  Stein Chiropractic |  Sylvan Learning |  The Melting Pot |  Tommy Hilfiger |  Tutti Frutti Dejeuners |  Under Armour |  Varo Men�s Boutique |  Vivaldi Salon Suites |  Zendejas American Grill |  Zethina Cosmetics"
CityCentre,Texas,"800 Town & Country Blvd, Houston, Texas 77024",+1 713-629-5200,43.62534,-95.5126825,44 stores, Amegy Bank |  Anthropologie |  Bally Total Fitness |  Bistro Alex |  Bistro Bar |  BRIO Tuscan Grille |  Cyclone Anaya's |  Eddie V's Prime Seafood |  Elaine Turner |  Eye Couture |  Flora & Muse |  Free People |  Hotel Sorella |  Hotel Sorella Confer Cntr |  Houston Motor Club |  Houston Texans Grille |  Chipotle Mexican Grill |  Jamba Juice |  Life Time Athletic |  LifeCafe |  LifeSpa |  LMD Boutique |  lululemon |  Monnalisa Bar |  Norris Conference Center |  Office Depot |  Olive & Vine |  Paper Source |  Paul Carter Jewels |  RA Sushi |  Red Mango Frozen Yogurt |  Ross Dress For Less |  Ruggles Green |  Sculptures by Design |  Straits Restaurant |  Studio Movie Grill |  Sur La Table |  Sweet |  The Sports Authority |  The Tasting Room |  Urban Outfitters |  Walmart |  Yard House
CityPlace,California,"151 E 5th Street, Long Beach, CA 90802",562-439-2221,33.773364,-118.190185,46 stores, 4th St. Deli |  Abbani Men's Wear |  Anna's Linens |  Armed Forces Recruiting |  Best Line Ropa |  Big 5 Sporting Goods |  Bouchees Bistro |  C&C; Internet Cafe |  City of LB Veterans |  Claire's  |  Creama Cafe |  Daniels Jewelers |  Easy Fit Shoes |  Fashion Island |  Footaction USA |  Found Theatre |  GameStop |  GNC |  Hair Pavilion |  HomeTown Buffet |  Chopstix |  Island Plus |  iSmile Dental |  Jean Machine |  LB Total Body |  Luxury Perfumes |  Major Cap |  Mitaki Japanese |  Mrs. Fields Cookies |  Nordstrom Rack |  Nutritek |  Panda Express |  Payless ShoeSource |  Peachberry Yogurt |  Pit Stop Pizza |  Professionail |  Ross Dress For Less |  Sally Beauty Supply |  Subway |  Sushi Zen Manu |  Swimsuit Outlet |  T-Mobile |  Walmart |  Wing Stop |  Zizibeh
CityPlace,Florida,"700 S. Rosemary Avenue, West Palm Beach, FL",561-366-1000,26.7073666,-80.0569964,128 stores," A/X Armani Exchange |  AET Entertainment/Melinda Trucks Studio |  AMR Capital Trading |  Ann Taylor |  Anthropologie |  Anushka Spa, Salon & Cosmedical Centre |  Apricot Lane |  Banana Republic |  Bang & Olufsen |  Barnes & Noble |  Barnes & Noble Café |  Barry & Company, CPA |  Bath & Body Works |  BB King’s Blues Club |  BCBGMAXAZRIA |  Belis |  Bikini Style Ocean Drive |  Blue Martini |  Blue Martini Central Support Office |  Bobby Chan |  Bolufé |  Brewzzi |  Brewzzi's Patio Bar |  Brookstone |  C. Orrico |  Caché |  Callisto Partners LLC |  Carlos ‘n Charlie’s |  Carlton Fields, P.A. |  City Cellar Wine Bar & Grill |  City Gems |  City Pizza |  Cleveland Clinic Florida |  Cleveland Clinic Imaging |  Coastal Construction |  Consumer Testing Laboratories |  Destination Palm Beach |  Diva Duck |  Edwards Angell Palmer & Dodge LLP |  Eg2 Gallery |  Field of Greens |  Francesca’s Collections |  Fresh Produce |  Gap / Gap Body / Gap Kids / Gap Baby |  Goodrich, LLC |  Gymboree |  Harriet Himmel Theater |  Cheeburger Cheeburger |  Cheesecake Factory |  Chico's |  Christ Fellowship |  Il Bellagio |  Il Bellagio Café |  Improv Comedy Club and Dinner Theatre |  INTECH |  ITALY Fast Quality Food |  Journeys |  Joy Guernsey Designs |  Justice |  Kona Grill |  Kreiss Collection |  Lane Bryant |  Lauren Adams Décor |  Lazer, Aptheker, Rosella, & Yedid, P.C. |  Lost City Cigar |  Lucky Brand Jeans |  M3X Media, Inc. |  Macy's |  Mango Madness Skin Care |  Matthews Consulting |  McAuley, Woods, & Associates |  McCormick & Schmick's |  McLaughlin & Stern, LLP |  Milton Lachman |  Muvico IMAX Theater |  Neuberger Berman |  Nine West |  Novak Druce + Quigg LLP |  O’Donnell Agency |  One Parking |  Palm Beach Broadcasting - WRMF |  Panera Bread |  Pottery Barn |  Primo Comfort Footwear |  Publix Super Market |  Puppies in Paradise |  Pura Vida Lounge & Nightclub |  Raymond James & Associates |  RBC Wealth Management |  Regions Bank |  Restoration Hardware |  Richman Group |  Rita's Italian Ice |  Roxtar |  Run & Roll |  Ruth's Chris Steak House |  S!R Men's Wear |  Saito's Japanese Steakhouse |  SEE Eyewear |  Sephora |  Shutts & Bowen LLP |  Sips n Strokes |  Sloan's |  Smoothie King |  Solstice Sunglass Boutique |  Starbucks |  Sugar Chef Cupcakes |  Sunglass Hut |  Sweet Ginger Asian Bistro |  Taco Vida |  Taverna Opa |  TD Ameritrade |  Thai Jo |  The Business Center |  The Comvest Group |  The Law Firm of Christian Scholin |  The Olive Tap |  Tommy Bahama |  Tutti Frutti Frozen Yogurt |  Urban Design Studio |  Verizon Wireless To Go |  Victoria's Secret |  Waters Pelton |  Wet Willies |  White House Black Market |  William E. Johnson |  Williams-Sonoma"
CitySquare,Massachusetts,"Front St., Commercial & Worcester Center Blvd., Worcester, MA 01608-1494",,39.2844917,-74.9932847,90 stores," Andrew Marc |  Ann Taylor Factory Store |  Applebee's |  Au Bon Pain |  Bali/Hanes/L'eggs |  Bally of Switzerland |  Banister Shoes |  Bank of Boston |  Barneys New York |  Bed Bath & Beyond |  Benetton |  Big Dog Sportswear |  Burger King |  Cambridge Soundworks |  Carter's |  Colours & Scents |  Common Cards & Gifts |  Converse Factory Outlet |  Cosmetics Plus |  Country Candles |  CVS/Pharmacy |  Damon's |  Dansk |  Donna Karan |  Erdos Cashmere |  err |  Esprit |  Factory Brand Shoes |  Foothills Theatre |  G.H. Bass |  Geoffrey Beene |  GNC |  Guess Outlet |  Harry & David |  J.B. Scoops |  Joan & David |  Jockey |  Jones New York |  K.B. Toy |  Kasper |  Levi's Outlet |  Lids |  London Fog |  Lord's & Lady's |  Lord's & Lady's II |  Lunt Silversmiths |  Macy's |  Maidenform |  Max Studio |  Media Play |  Mikasa Factory Store |  Milton's |  Nautica |  Nine West Outlet |  Nineties Nails |  OshKosh B'gosh |  Overland Trading Co. |  PA Company |  Panda Express |  Payless ShoeSource |  Perfumania |  Piercing Pagoda |  Polo |  Polo Ralph Lauren |  RadioShack |  Royal Doulton |  Sbarro |  Sharfman's |  Software, Etc. |  Starter |  Steilmann |  Stride Rite/Sperry/Keds |  Sunglass Hut |  Sunglass Source |  Tahari |  The Different Twist |  The Children's Place |  The Sports Authority |  Tommy Hilfiger |  Toyama |  Travel 2000 |  Tropik Sun Fruit & Nut |  Van Heusen |  Vitamin World |  Waterlily Cafe |  Weintraub's |  Westport Woman |  Westport, Ltd. |  Young's Travel"
Clackamas Town Center,Oregon,"12000 SE 82nd Avenue, Happy Valley, Oregon 97086",(503) 653-6913,45.4369709,-122.5762813,180 stores, abercrombie |  Abercrombie & Fitch |  Activate Cellular |  aerie by American Eagle |  Aeropostale |  All American Frozen Ygrt. |  America Beautiful Dreamer |  American Eagle Outfitters |  AT&T; Mobility |  Auntie Anne's Pretzels |  Avon |  Barnes & Noble |  Barnes & Noble Cafe |  Bath & Body Works |  Bella Fashions |  Ben & Jerry's |  Ben Bridge Jeweler |  Best Buy Mobile |  Billabong |  Body Gear |  Body Jewelry Company |  Braganza Tea |  Brookstone |  Buckle |  Build-A-Bear Workshop |  California Pizza Kitchen |  Carl's Jr. |  Century 20 Theaters |  Cinnabon |  Claim Jumper |  Claire's  |  Classic Collections |  Clear Internet |  Coach |  Coldwater Creek |  Crazy 8 by Gymboree |  Disney Store |  Dosha Salon |  Eddie Bauer |  Empire Today |  Emporio Bridal & Formal |  Excalibur Cutlery & Gifts |  Express |  f.y.e. |  Fashion Tailoring Srvcs. |  Fast Fix Jewelery Repairs |  Foot Locker |  Forever 21 |  Foxy Nails |  Fred Meyer Jewelers |  Frederick's of Hollywood |  Fresh Rain Body & Bath |  Fuego |  GameStop |  Gentle Dental |  Gifts From Afar |  GNC |  Gold Buyers at the Mall |  Gordon's Jewelers |  Gymboree |  H&M; |  Helzberg Diamonds |  Hollister Co. |  Hot Dog On A Stick |  Hot Topic |  Charley's Griled Subs |  Charlotte Russe |  Chipotle Mexican Grill |  Christopher & Banks |  Icing by Claire's |  Industrial Ride |  Invisible Shield |  Iris Impressions |  Jamba Juice |  JCPenney |  JCPenney Optical |  JCPenney Portrait Studio |  JCPenney Salon |  Joe Kassab Custom Jewelry |  Joseph K Wedding Rings |  Journeys |  Just Sports |  Just Sports 2 |  Justice |  Kay Jewelers |  Kelly's Cajun Grill |  Kitchen Kaboodle |  La Belle Vie Salon |  Lady Foot Locker |  Lane Bryant |  Legends |  LensCrafters |  Lids |  LOFT |  Love Culture |  Macy's |  Macy's Home |  Made in Oregon |  Make It Personalized |  Mark's Hallmark |  MasterCuts |  Morgan Jewelers |  Motherhood Maternity |  Murano Glass |  My Pillow Pets |  Nail Art |  No Skinny |  Noodles & Company |  Nordstrom |  Nordstrom Cafe |  Nordstrom eBar |  Nori Japan |  Orange Julius |  PacSun |  Panda Express |  Panera Bread |  Papaya |  Payless ShoeSource |  Perfumania |  Phagans School of Hair |  Piercing Pagoda |  Proactive |  Pumpkin Patch |  RadioShack |  Racha Thai Cuisine |  Ram Restaurant & Brewery |  Regis Salon |  REI |  Romano's Macaroni Grill |  Romy |  Ruby Thai Kitchen |  Sbarro |  Sears |  Sears Portrait Studio |  Seattle's Best Coffee |  See's Candies |  Sephora |  Sharp Shades |  Shoppers Express |  Sinju Japanese |  SmokeIn |  Spencer's |  Sprint |  Starbucks Coffee |  Stride Rite |  Subway |  Sunglass Hut |  Swarovski |  SWIRL Frozen Yogurt |  Taco Time |  Teavana |  The Body Shop |  The Hannah Society |  The Children's Place |  The Mac Store |  The Picture People |  The Sleep Number Store |  The Walking Company |  Things Remembered |  T-Mobile |  Toni & Guy |  Torrid |  Town Center Shoe Repair |  Trade Secret |  Trend Shoes |  U.S. Bank ATM |  Unique Imports |  Univ. of Oregon Store |  Urban Manifesto |  Vans |  Verizon/Diamond Wireless |  Victoria's Secret |  Visionworks |  Wet Seal |  White House|Black Market |  Xtreme Toys and Hobby |  Yankee Candle |  Zales The Diamond Store |  Zumiez
Clairemont Town Square S/C,California,"4821 Clairemont Dr., San Diego, CA 92117-2706 ",(858) 272-0992,32.831306,-117.204713,70 stores," Ace Hardware |  Apple One Employment |  Arleys French Bakery Cafe |  AT&T; |  Automobile Club of S. CA |  Bank of America  |  Bath & Body Works |  Being Fit Fitness Center |  Big Lots |  Bombay Coast |  Burlington Coat Factory |  California Bank & Trust |  Cartridge World |  Clairemont Sportscards |  Cold Stone Creamery |  Cucina Italiana |  CVS/Pharmacy |  Denny's |  Dino's Gyros |  Edward Jones |  Extreme Pizza |  Foot Solutions |  Freeway Insurance Service |  GameStop |  Gino's Wide Shoes&Repair; |  GNC |  H&R; Block |  Hair With Flair |  Happy Nails & Spa |  Hema Srinivasan, DDS |  Home Fabrics |  Chase  |  Chili's |  Jack In The Box |  Jamba Juice |  Krispy Kreme |  Lifetime Animal Care |  Lightin Jack Bar B Que |  Massage Envy |  McDonald's |  Michaels |  Mission Federal Credit |  New Cingular Wireless |  Outback Steakhouse |  Petco |  Pick Up Stix |  Pizza Hut |  RadioShack |  Reading Cinemas Town Sq. |  Regan Recycling |  Rocco's Hair Design |  Sally Beauty Supply |  San Diego County C U |  Senor Pancho Grill |  Sew Pro's |  Shoe Locker |  Skybox Sports Grill |  Sport Clips |  Starbucks Coffee |  Subway |  Sushiman |  Syner-Chi Day Spa |  T.J.Maxx |  The UPS Store |  T-Mobile |  Town Square Dentistry |  Troy's Restaurant |  Vons |  Waldo's Chili Dogs"
Clay Terrace,Indiana,"14390 Clay Terrace Blvd, Carmel, IN 46032-3669",(317) 818-0725,39.996543,-86.130326,84 stores, Aeropostale |  AH Collection |  American Eagle Outfitters |  American Heritage |  Ann Taylor |  Bachrach |  Bath & Body Works |  Bella Pizzeria |  Biaggi's Ristorante Italiano |  Carmel Community Playhouse |  Claire's Boutique |  Clarks |  Classic Cleaners |  Clay Terrace - Mall Office |  Cold Stone Creamery |  Color Me Mine |  Crazy 8 |  David & Mary Day Spa |  dELiAs |  Dick's Sporting Goods |  DSW Shoe Warehouse |  Eddie Bauer |  Express Men/Express |  Eye's by India |  Finish Line |  Francesca's Collections |  GameStop |  Glacé Nail Salon |  Gymboree |  House of Martial Arts |  ChaCha.com |  Charles Schwab |  Charming Charlie |  Chelsea's |  Chico's |  JEM Jewellers |  Jimmy John's |  Jos. A. Bank |  Justice |  Kincaid's |  Kitchen Master |  Kona Grill |  LOFT |  Luxe Home Interiors |  Maurices |  Men's Wearhouse and Tux |  Merrell Shoes & Apparel |  Mitchell's Fish Market |  Moochie & Co. |  Mo's A Place for Steaks |  New York & Company |  Old National Bank |  Old Navy |  Oliver's Twist |  Orvis |  Paradise Bakery & Cafe |  Party City |  Petite Chou by Patachou |  Pier 1 Imports |  Play Area |  Qdoba Mexican Grill |  Red Robin |  RevolutionEyes |  Snapperz Family Fun & Sports |  Soma Intimates |  Sprint |  Starbucks Coffee |  Stride Rite Shoes |  Sunglass Hut |  Sur La Table |  Survival Fitness |  Ted's Montana Grill |  The Children's Place |  The Yoga Center |  Tony Sacco's Coal Oven Pizza |  Trichology Salon |  Vera Bradley |  Victoria's Secret |  Village Clock Shop and Home Furnishings |  White House Black Market |  Whole Foods Market |  Yankee Candle |  Z Gallerie
Clearview Mall,Louisiana,"4436 Veterans Memorial, Boulevard, Metairie, Louisiana 70006",+1 504-885-0202,30.0026098,-90.1809954,56 stores, Ali Baba's Green Cuisine |  AMC 12 Theatres |  Amy's Hallmark |  AT&T; |  Bath & Body Works |  Bed Bath & Beyond |  Best Buy Fashion |  Blake/Baily's Candy Cove |  Blue Cliff College |  Cap Land |  Capital One Bank ATM |  Cici's Massage |  Cody Walsh Fine Arts |  Cohen Eye Care |  Cupid's Engraving |  Decorating Your House |  Dippin' Dots |  Dollar Tree |  Funzersize |  GNC |  Gulf State Research |  Hair USA |  I Supply |  Jewelry Treasures |  Louisiana Gold Market |  Meme's |  Oscar's Watch & Jewelry |  P.J. Coffee |  Photo Booth |  Ponseti SAS Shoes |  Ponseti Shoes |  Rocky Mountain Chocolate |  Sears |  Semolina's Int'l Pasta |  Serrano's |  Shapes Brow Bar |  Shoe Dept. |  Smoke Wherever |  Smoothie King |  So Chic |  Solar Teeth Whitening |  Sombrero Pizza |  Stir Fry |  Studio Nails |  Subway |  Sunglasses-Shady Business |  Target |  Team Title |  The Clearview Rooms |  The Jewelry Box |  TNV Studios |  Trendi Accessories |  Whitney National Bank ATM |  World of Wings |  Zea's Rotisserie
